Store,Date,fcst_revenue,WEEk
S0038,10/28/2019,904,44
S0038,10/29/2019,894,44
S0038,10/30/2019,885,44
S0038,10/31/2019,800,44
S0039,10/1/2019,105,40
S0039,10/2/2019,123,40
S0039,10/3/2019,114,40
S0039,10/4/2019,125,40
S0039,10/5/2019,84,40
S0039,10/6/2019,148,41
S0039,10/7/2019,130,41
S0039,10/8/2019,129,41
S0039,10/9/2019,131,41
S0039,10/10/2019,120,41
S0039,10/11/2019,131,41
S0039,10/12/2019,137,41
S0039,10/13/2019,138,42
S0039,10/14/2019,132,42
S0039,10/15/2019,132,42
S0039,10/16/2019,133,42
S0039,10/17/2019,122,42
S0039,10/18/2019,133,42
S0039,10/19/2019,133,42
S0039,10/20/2019,133,43
S0039,10/21/2019,142,43
S0039,10/22/2019,142,43
S0039,10/23/2019,142,43
S0039,10/24/2019,131,43
S0039,10/25/2019,142,43
S0039,10/26/2019,142,43
S0039,10/27/2019,142,44
S0039,10/28/2019,135,44
S0039,10/29/2019,135,44
S0039,10/30/2019,135,44
S0039,10/31/2019,124,44
S0040,10/1/2019,505,40
S0040,10/2/2019,598,40
S0040,10/3/2019,571,40
S0040,10/4/2019,577,40
S0040,10/5/2019,1119,40
S0040,10/6/2019,895,41
S0040,10/7/2019,621,41
S0040,10/8/2019,590,41
S0040,10/9/2019,617,41
S0040,10/10/2019,605,41
S0040,10/11/2019,613,41
S0040,10/12/2019,880,41
S0040,10/13/2019,878,42
S0040,10/14/2019,722,42
S0040,10/15/2019,719,42
S0040,10/16/2019,717,42
S0040,10/17/2019,704,42
S0040,10/18/2019,711,42
S0040,10/19/2019,709,42
S0040,10/20/2019,706,43
S0040,10/21/2019,677,43
S0040,10/22/2019,674,43
S0040,10/23/2019,671,43
S0040,10/24/2019,657,43
S0040,10/25/2019,665,43
S0040,10/26/2019,661,43
S0040,10/27/2019,658,44
S0040,10/28/2019,512,44
S0040,10/29/2019,508,44
S0040,10/30/2019,505,44
S0040,10/31/2019,491,44
S0041,10/1/2019,24,40
S0041,10/2/2019,23,40
S0041,10/3/2019,22,40
S0041,10/4/2019,23,40
S0041,10/5/2019,39,40
S0041,10/6/2019,21,41
S0041,10/7/2019,21,41
S0041,10/8/2019,21,41
S0041,10/9/2019,21,41
S0041,10/10/2019,20,41
S0041,10/11/2019,21,41
S0041,10/12/2019,26,41
S0041,10/13/2019,26,42
S0041,10/14/2019,23,42
S0041,10/15/2019,23,42
S0041,10/16/2019,23,42
S0041,10/17/2019,22,42
S0041,10/18/2019,24,42
S0041,10/19/2019,24,42
S0041,10/20/2019,24,43
S0041,10/21/2019,22,43
S0041,10/22/2019,22,43
S0041,10/23/2019,23,43
S0041,10/24/2019,21,43
S0041,10/25/2019,23,43
S0041,10/26/2019,23,43
S0041,10/27/2019,23,44
S0041,10/28/2019,24,44
S0041,10/29/2019,24,44
S0041,10/30/2019,24,44
S0041,10/31/2019,23,44
S0045,10/1/2019,110,40
S0045,10/2/2019,127,40
S0045,10/3/2019,121,40
S0045,10/4/2019,133,40
S0045,10/5/2019,176,40
S0045,10/6/2019,144,41
S0045,10/7/2019,143,41
S0045,10/8/2019,145,41
S0045,10/9/2019,143,41
S0045,10/10/2019,133,41
S0045,10/11/2019,143,41
S0045,10/12/2019,178,41
S0045,10/13/2019,178,42
S0045,10/14/2019,151,42
S0045,10/15/2019,151,42
S0045,10/16/2019,151,42
S0045,10/17/2019,141,42
S0045,10/18/2019,151,42
S0045,10/19/2019,151,42
S0045,10/20/2019,152,43
S0045,10/21/2019,149,43
S0045,10/22/2019,149,43
S0045,10/23/2019,149,43
S0045,10/24/2019,139,43
S0045,10/25/2019,150,43
S0045,10/26/2019,150,43
S0045,10/27/2019,150,44
S0045,10/28/2019,138,44
S0045,10/29/2019,138,44
S0045,10/30/2019,138,44
S0045,10/31/2019,128,44
S0046,10/1/2019,416,40
S0046,10/2/2019,341,40
S0046,10/3/2019,203,40
S0046,10/4/2019,231,40
S0046,10/5/2019,269,40
S0046,10/6/2019,249,41
S0046,10/7/2019,249,41
S0046,10/8/2019,422,41
S0046,10/9/2019,346,41
S0046,10/10/2019,208,41
S0046,10/11/2019,237,41
S0046,10/12/2019,275,41
S0046,10/13/2019,255,42
S0046,10/14/2019,254,42
S0046,10/15/2019,427,42
S0046,10/16/2019,351,42
S0046,10/17/2019,214,42
S0046,10/18/2019,242,42
S0046,10/19/2019,280,42
S0046,10/20/2019,260,43
S0046,10/21/2019,260,43
S0046,10/22/2019,433,43
S0046,10/23/2019,357,43
S0046,10/24/2019,219,43
S0046,10/25/2019,248,43
S0046,10/26/2019,286,43
S0046,10/27/2019,266,44
S0046,10/28/2019,265,44
S0046,10/29/2019,438,44
S0046,10/30/2019,362,44
S0046,10/31/2019,225,44
S0050,10/1/2019,401,40
S0050,10/2/2019,397,40
S0050,10/3/2019,389,40
S0050,10/4/2019,399,40
S0050,10/5/2019,591,40
S0050,10/6/2019,478,41
S0050,10/7/2019,420,41
S0050,10/8/2019,405,41
S0050,10/9/2019,421,41
S0050,10/10/2019,412,41
S0050,10/11/2019,422,41
S0050,10/12/2019,505,41
S0050,10/13/2019,506,42
S0050,10/14/2019,452,42
S0050,10/15/2019,453,42
S0050,10/16/2019,453,42
S0050,10/17/2019,444,42
S0050,10/18/2019,454,42
S0050,10/19/2019,454,42
S0050,10/20/2019,455,43
S0050,10/21/2019,457,43
S0050,10/22/2019,457,43
S0050,10/23/2019,457,43
S0050,10/24/2019,449,43
S0050,10/25/2019,458,43
S0050,10/26/2019,459,43
S0050,10/27/2019,459,44
S0050,10/28/2019,413,44
S0050,10/29/2019,414,44
S0050,10/30/2019,414,44
S0050,10/31/2019,405,44
S0052,10/1/2019,205,40
S0052,10/2/2019,184,40
S0052,10/3/2019,176,40
S0052,10/4/2019,188,40
S0052,10/5/2019,202,40
S0052,10/6/2019,247,41
S0052,10/7/2019,194,41
S0052,10/8/2019,191,41
S0052,10/9/2019,194,41
S0052,10/10/2019,183,41
S0052,10/11/2019,195,41
S0052,10/12/2019,218,41
S0052,10/13/2019,218,42
S0052,10/14/2019,215,42
S0052,10/15/2019,215,42
S0052,10/16/2019,215,42
S0052,10/17/2019,203,42
S0052,10/18/2019,215,42
S0052,10/19/2019,215,42
S0052,10/20/2019,215,43
S0052,10/21/2019,214,43
S0052,10/22/2019,214,43
S0052,10/23/2019,214,43
S0052,10/24/2019,202,43
S0052,10/25/2019,214,43
S0052,10/26/2019,214,43
S0052,10/27/2019,214,44
S0052,10/28/2019,190,44
S0052,10/29/2019,190,44
S0052,10/30/2019,190,44
